log_name,conversation_length,visible_transitions_ground_truth,visible_transitions_generated,shared_activities,percFitTraces,averageFitness,percentage_of_fitting_traces,average_trace_fitness,log_fitness,precision
01.txt,2,9,10,9,3.5,0.6205965811965836,3.5,0.6205965811965836,0.6448775801530333,0.9873417721518988
02.txt,6,17,22,17,0.0,0.8733015873015995,0.0,0.8733015873015995,0.8735225618221808,0.6923076923076923
03.txt,6,11,12,11,0.0,0.7019566823726294,0.0,0.7019566823726294,0.6988713228136559,0.6688963210702341
04.txt,6,10,18,10,0.0,0.6388333333333367,0.0,0.6388333333333367,0.6392710679625782,0.38714733542319746
05.txt,4,11,12,11,9.3,0.9353042497577428,9.3,0.9353042497577428,0.930620567625538,0.9915674603174603
06.txt,6,10,18,10,0.0,0.8280042634303816,0.0,0.8280042634303816,0.8261108650902951,0.8914642299977713
07.txt,2,13,13,13,0.0,0.7225488814123855,0.0,0.7225488814123855,0.704031630850807,0.8019246190858059
08.txt,Error,12,None,None,None,None,None,None,None,None
09.txt,4,13,12,12,0.0,0.7913343784965248,0.0,0.7913343784965248,0.7922473997277906,0.8881057268722466
10.txt,6,9,12,9,0.0,0.5291541266403709,0.0,0.5291541266403709,0.5617819249342146,0.9030979827089337
11.txt,4,12,13,10,0.0,0.5776486693030396,0.0,0.5776486693030396,0.5828511771115971,0.9274279615795091
12.txt,6,9,10,9,0.0,0.7647302631578975,0.0,0.7647302631578975,0.7712984054669704,0.6666666666666667
13.txt,4,8,13,8,0.0,0.5498789473684225,0.0,0.5498789473684225,0.5504229017566689,0.0
14.txt,4,7,9,7,0.0,0.9311507841807968,0.0,0.9311507841807968,0.933093985540686,0.41591213950368877
15.txt,6,10,19,10,0.0,0.6289016602809752,0.0,0.6289016602809752,0.6306448037413921,0.5772018847408482
